Strain,Type,Rating,Effects,Flavor,Description
Blackberry-X-Blueberry,indica,4.3,"Relaxed,Happy,Uplifted,Euphoric,Creative","Berry,Earthy,Blueberry","This dense crystal-covered indica strain by LivWell is a mix of Blackberry and DJ Short’s Blueberry. Blackberry x Blueberry tends to have a hashy Afghani aroma and flavor balanced by sweet berries and skunk. Thanks to its strong indica body effects, this strain is often recommended for treatment of pain."
Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Berry,Grape","Blackwater is an indica strain typically bred from Mendo Purps and San Fernando Valley OG Kush. Its round, compact buds take on a deep purple color and a sweet grape aroma that blends with subtle undertones of lemon and pine. What begins as a mellow and euphoric cerebral experience melts down to the rest of the body in a head-to-toe euphoric calm that relieves stress and anxiety. Patients have also reported its success in treating pain, appetite loss, and multiple sclerosis. This strain is recommended for late-night consumption as it can cause mental cloudiness and detract from productivity. Blackwater has a flowering time of 8 to 10 weeks and produces moderate yields in indoor, outdoor, and greenhouse gardens. The 2014 Los Angeles Cannabis Cup awarded Blackwater 3rd place in the indica category."
Blaze,sativa,4.3,"Euphoric,Energetic,Talkative,Creative,Aroused","Blueberry,Sweet,Berry","British Columbia Seed Company crossed the indica Blueberry with Haze in order to tame this lanky, long-flowering Blaze. This large sativa-dominant plant combines the soaring cerebral high and sweet-spicy smell of Haze, while getting shorter flowering times and a distinct dried-grape aroma from Blueberry. Blaze is closely related to Blueberry Haze and Blue Dream."
Blissful-Wizard,hybrid,4.8,"Happy,Talkative,Euphoric,Relaxed,Uplifted","Earthy,Vanilla,Pungent","Blissful Wizard by The Captain’s Connection is a potent hybrid strain that crosses Captain's Cookies and Girl Scout Cookies in a decadent fusion of lemon, lime, and cream flavors. With a soaring THC content that won this strain 1st place in the 2015 SoCal Cannabis Cup as a non-solvent hash, Blissful Wizard is the only healing potion you’ll need to eliminate stubborn aches, pains, nausea, and appetite loss. This flavorful hybrid helps conjure a happy headspace in which life’s stressors are obliterated by a blast of otherworldly euphoria.  "
Blizzard-Bush,hybrid,0,None,None,"Blizzard Bush by Greenpoint Seeds is a resinous hybrid cross of Pura Vida and Stardawg. This beautiful strain’s copious coating of resin gives the plant’s lush foliage a diamond-like shimmer. It offers larger-than-average yields with creamy marshmallow aromas smeared with fuel and, oddly enough, cured meats. Enjoy Blizzard Bush’s mood elevation and stress relief throughout the day to combat lethargy and depression.  "
Blob-Og,hybrid,4.7,"Euphoric,Talkative,Uplifted,Creative,Happy","Diesel,Lemon,Chemical","Blob OG is supposedly a strain that originated in Western Washington. The heavy hitting, body-driven strain incorporates the stimulating mental elements of Diesel crossed against the potent indica-dominant genetics of Pre-99 Chemdawg. This cross offers lightness in the body and a mental edge from the Diesel. Because it can stretch toward 30% THC, sativa-dominant hybrid or not, this much potency will absolutely put the uninitiated consumer down for the count."
Blockhead,hybrid,4.2,"Relaxed,Happy,Hungry,Uplifted,Euphoric","Pungent,Woody,Flowery","An indica-dominant hybrid, Blockhead is not for the inexperienced user. Powerful physical effects typical of indica strains are accompanied by intense psychoactive effects that deem this strain unfit for those who are looking for a lot of social activity. Alternatively, this brown earthy flower is optimal for pain relief and sedative relaxation. For the experienced connoisseur who appreciates and respects power, this robust strain could easily become a favorite."
Bloos-Kloos,indica,4.6,"Creative,Relaxed,Happy,Euphoric,Focused","Flowery,Earthy,Berry","Bloo’s Kloos is a playful indica with a carefree buzz that encourages laughter. This three-way cross of Larry OG, Blueberry, and Northern Lights imbues Bloo's with earthy and fruity terpenes that turn sweet when consumed. Created by Mr. Mack out of Las Vegas, this strain leaves the mind clear and the body free of aches and pains. "
Blood-Orange-Kush,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Creative","Diesel,Citrus,Orange","Blood Orange Kush is an indica-dominant cross of, as of now, the unknown or unnamed genetics Aota x Pinecracker and an unnamed OG. This plant has a bushy structure that doesn’t yield much, but the dense, trichome-covered nugs are prized for their bright terpene profile and heavy effects. Blood Orange Kush emits a bouquet of gas and tart citrus that fills the room and coats the palate. Its uplifting mental buzz and relaxing physical effects make Blood Orange Kush a solid option for consumers looking to abate minor pain and elevate mood.  "
Bloodhound,hybrid,4.2,"Happy,Relaxed,Focused,Talkative,Euphoric","Earthy,Sage,Spicy/Herbal","Bloodhound is the obscure cross of Huckleberry Hound and Guard Dawg (by RedEyed Genetics). This genetic coupling was motivated by the desire to preserve the beautiful foliage and tartness of Huckleberry Hound while co-opting Guard Dawg’s potency. With a decent yield and THC percentage upwards of 24%, this strain smells of tart fruit intermixed with an earthy chocolate fondue flavor."
Blowfish,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Spicy/Herbal,Pepper,Sage","Blowfish is an indica-dominant hybrid bred by Dutch Flowers, who crossed a G13 and Oregon Funk hybrid with a G13 and Blue Dot hybrid to create this cannabis strain."
Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused","Blueberry,Spicy/Herbal,Berry","Created in 2013 by Terraform Genetics who crossed Conspiracy Kush and Blue Dream, Blucifer is a blue-ish purple sativa strain that radiates with the smell of blueberries and cream with a spicy finish. These frosty buds are meant to leave you feeling productive and motivated, making it a perfect choice for inspiring that long-overdue nature walk. Blucifer works well in indoor gardens with minimal direct sunlight, and it should finish flowering in 55 to 60 days."
Blue-Afghani,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Blueberry,Woody,Pungent","Bred by Jordan of the Islands in Canada, Blue Afghani is an indica-dominant strain that combines genetics from Blueberry and Afghani. Its stout plants produce dense, resinous buds that fill your nose with a sweet and spicy berry aroma. Next come the powerful full-body effects that keep you anchored in relaxation while pain, anxiety, and stress float away. "
Blue-Alien,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Blueberry,Berry,Citrus","Blue Alien is a powerful, sweet-smelling indica strain that combines genetics from Blueberry and Alien Kush. Like most Blueberry hybrids, Blue Alien takes on a sweet berry aroma that introduces its dreamy euphoria and full-body calm. Because its effects tend toward the sleepier side of the spectrum, most consumers prefer Blue Alien in the evening and when pursuing a good night’s sleep. "
Blue-Bastard,indica,3.8,"Euphoric,Happy,Sleepy,Uplifted,Creative","Berry,Pine","The descendant of indicas DJ Short Blueberry and God Bud, in addition to White family lineage, this indica-dominant hybrid is best known for its pungent blueberry aroma. Thanks to its hybrid makeup, the indica physical effects are strong without inducing sedation, making this strain appropriate for day or nighttime use. Best described as relaxing, Blue Bastard may be just the bud to take the edge off."
Blue-Bayou,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy",Sweet,"Blue Bayou can only be described as a comprehensive psychoactive experience. A true sativa, this peppy flower is optimal for a variety of cerebral ailments; patients report mood elevation and increased focus in particular. This strain may be suitable for a variety of applications including creative pursuits, focused work, or introspective exploration."
Blue-Blood,indica,4.2,"Relaxed,Sleepy,Hungry,Talkative,Focused","Sweet,Blueberry,Earthy",Blue Blood from breeder Medicann is an indica-dominant cross of OG Kush and Blueberry. It carries on the potent legacy of OG Kush genetics and adds a sweet berry flavor to the pine and diesel undertones. Some Blue Blood phenotypes have proven to show a tendency towards higher CBD levels which adds to the already relaxing nature of this strain. 
Blue-Boy,hybrid,4.1,"Happy,Relaxed,Giggly,Euphoric,Aroused","Earthy,Pungent,Flowery","Blue Boy is a cross of popular favorites Blue Dream and Northern Lights #5 that will give you anything but the blues. Originally from Washington state, this sativa-dominant hybrid provides focused, cerebral effects that make it a great choice for daytime use. Its plants are bushy and grow large, and the flowers tend to be large and on the looser, leafier side. Blue Boy is a potent strain with THC levels that often test over 20%."
Blue-Buddha,indica,4.9,"Relaxed,Euphoric,Sleepy,Uplifted,Happy","Blueberry,Citrus,Cheese","Blue Buddha is an indica-dominant strain with heavy body effects. Created by crossing Oregon Blueberry and Buddha’s Sister, this strain’s bouquet is thick with pepper and fruity terpenes. The flavor is delicate with notes of tea and sweet berries, leaving herbaceous sweetness on the palate. Blue Buddha’s effects are initially uplifting and cerebral, but quickly creep onto the body, weighing the consumer to the couch and stoning the mind. This strain caters to consumers seeking to curb ADD, ADHD, and chronic stress, allowing the consumer to forget their problems and mellow out.      "
Blue-Champange,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Euphoric","Sweet,Blueberry,Berry","A descendent of the famous Blue Dream and luxurious hybrid Champagne Kush, Blue Champagne is a gem in its own right. A sativa-dominant hybrid, this active strain is optimal for daytime consumption. Blue Dream delivers dreamy cerebral effects that are mellowed out by Champagne Kush, resulting in a combination that regular consumers find suitable for their needs. The flower has a sweet, fruity aroma and a grassy flavor yielding heavy expansion. On the potent but manageable side, Blue Champagne is a definite candidate for your cannabis arsenal."
Blue-Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Blue,Cheese,Cheese,Blueberry","Blue Cheese is an indica cross created by crossing a Blueberry male with an original U.K. Cheese (a Skunk #1 phenotype) female. The sweet and savory smells of berry and blue cheese combine to create a creamy, unique flavor reminiscent of the original Cheese. The heavy indica effects will help you feel relaxed at the end of the day and can provide relief for muscle spasms, pain, and stress."
Blue-Cinex,hybrid,4.7,"Focused,Uplifted,Happy,Energetic,Sleepy","Blueberry,Earthy","Blue Cinex is the stimulating love child of Blue Dream and Cinex. This creeper lays into the mind from the first puff and expands outward within 15 minutes after inhalation. Offering longevity and potency, Blue Cinex is a perfect partner for long days on your feet or sustained physical activity. With a haziness that fills the mind and a physical stimulation that will get you talking, this strain will work as hard as you do. "
Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Berry,Blueberry,Sweet","Blue Cookies is an indica-dominant hybrid cross between two celebrity strains, Girl Scout Cookies and Blueberry. As the child of these heavyweight champion strains, Blue Cookies delivers a crushing blow of euphoria straight to the head, where it swiftly sinks down to relax the entire body. Sweet berry flavors fuse with earthy cherry notes in a flavor profile as enticing as the bud’s thick coat of frosty resin that stretches over twisting hues of green and purple. Novice consumers should approach Blue Cookies with modesty, but this strain’s potency is perfect for hard-to-impress veterans. You may also come across another variation of Blue Cookies, a select Girl Scout Cookies phenotype that lacks the Blueberry genetics."
Blue-Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused","Blueberry,Sweet,Berry","This sativa-dominant hybrid takes after its iconic parents, 50/50 hybrid Blue Dream and classic sativa Green Crack. Blue Crack reflects a balanced blend of its parents, with an energetic head rush from the Green that is mellowed out and mentally expansive thanks to the Blue, proposing an apt rename of ‘Turquoise’. Although dense by appearance, this flower yields soft, airy buds and a sweet, smooth aroma with blueberry undertones. As a high-energy strain with moderate to long-lasting effects, Blue Crack is a popular choice for daytime medicating."
Blue-Diamond,indica,4.4,"Euphoric,Relaxed,Happy,Sleepy,Talkative","Sweet,Tree,Fruit,Pineapple","Blue Diamond is a mostly indica strain bred by BioQueen genetics. Although its exact parentage is unknown, Blue Diamond descends from an indica-dominant hybrid and inherits a hashy, earthy aroma. It finishes flowering quickly, rewarding growers with yields of large, chunky buds after eight weeks."
Blue-Diesel,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Diesel,Berry","Daughter of indica-dominant Blueberry and sativa-dominant NYC Diesel, Blue Diesel (also known as Blue City Diesel) falls on the slightly indica side with a pleasant, moderate to long-lasting body buzz. Thanks to its Blueberry genetics, this flower emanates a light berry aroma that is smooth, expansive, and fast-acting. This strain is optimal for daytime and comes with little to no fatigue or increased appetite, making it a desirable option for medical marijuana patients. Originally produced by Breeder’s Choice, this plant may provide just the relaxation you need."
Blue-Dot,sativa,4.7,"Energetic,Happy,Relaxed,Focused,Uplifted","Earthy,Pungent,Berry","Blue Dot, also known as MGB or Medical Grade Bud, is a sativa-dominant strain originally bred in Sonoma, California by a medical patient. Blue Dot is a genetic blend of Leda Uno, Northern Lights, and Haze . Its resinous buds offer a sweet hashy flavor profile, and can be expected to finish flowering in 9 to 10 weeks."
Blue-Dragon,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Giggly","Blueberry,Berry,Sweet","Thought to have originated in California, Blue Dragon is a cross of two classic strains, the indica-dominant Blueberry and sativa-dominant Sour Diesel. The flowers of this hybrid often turn dark purple and are covered in bright orange pistils and white trichomes. Sometimes measuring over 24% THC, Blue Dragon is very potent, giving users an intensely euphoric feeling and heavy body buzz. Its aroma and flavor are what you might expect given its lineage: equal parts sour fuel and sweet berry with an expansive smoke."
Blue-Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet","Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain. "
Blue-Dynamite,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Berry,Spicy/Herbal,Pine","Blue Dynamite, bred by Next Generation Seeds in Canada, is an indica-dominant strain that provides heavy mind-and-body relaxation alongside a fruity, hashy flavor. This powerhouse indica was bred from a B.C. Grapefruit clone known as Dynamite and an Afghani-Blueberry hybrid called Avalon. Combining the flavorful qualities of Dynamite with the resinous potential Avalon enables, we are left with a potent strain that can budge even the most stubborn cases of pain, nausea, and sleeplessness. High Times recognized Blue Dynamite among its Top 10 Strains of 2007, solidifying a reputation that keeps this strain firmly set in the cannabis market."
Blue-Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative","Blueberry,Cheese,Menthol",Blue Frost is a hybrid that balances the genetics of Blue Monster and Jack Frost to create a 60/40 indica-dominant cross. Breeder Goldenseed has developed this strain to produce dense buds that show a range of deep violet hues and produces a pungent mixture of aromas. The flavor is an interesting combination of sweet fruity notes with a sharp cheese-like undertone. This hybrid is sure to lift your mood and replace any stress you may have with smile on your face.
Blue-Galaxy,hybrid,4.7,"Relaxed,Happy,Talkative,Creative,Energetic","Berry,Earthy,Blueberry","Blue Galaxy is a classic combo of Middle Eastern genetics bred for their potency and resin production. With Afghani and Hashplant Haze parentage, this strain imbues the consumer with a metric ton of muscular weight and a hazy but pleasant mental state. Anticipate earthy aromas with latent sweetness. Blue Galaxy is ideal for combating insomnia, chronic pain, and nausea. "
Blue-God,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Berry,Sweet,Blueberry","Blue God, bred by Jordan of the Islands in Canada, is a powerful indica mothered by God Bud and Blueberry. Fulfilling all of our indica expectations, Blue God produces crushing full-body effects ideal for nighttime treatment of pain and sleep disorders. With age, Blue God develops a sweet berry aroma and deep purple leaves freckled in frosty resin. Cultivators of this stout indica suggest growing Blue God as a multi-branch plant in soil, with a flowering period between 55 and 60 days."
Blue-Goo,hybrid,4.1,"Happy,Uplifted,Creative,Energetic,Talkative","Berry,Skunk,Pine","Blue Goo is a sativa-dominant hybrid that's a cross between the famous hybrid Blue Dream and indica Afgoo. A moderate to high potency yields uplifting effects that are standard for sativas, but not excessively energetic thanks to Afgoo’s contribution as well as the mellow nature of Blue Dream. This strain is appropriate for day or nighttime consumption and is good for treating depression and nausea. Smooth smoke and berry taste."
Blue-Hash,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Sweet,Blueberry,Earthy","The colorful hues and sweet flavors of Blueberry blend together with the resin production and heartiness of California Hash Plant to create Blue Hash, or Blueberry Hash. The aroma is a mixture of fresh berries with a pungent, earthy finish. Blue Hash produces a powerfully relaxing effect that is a great way to unwind at the end of a long day or at night before bedtime. Medical patients will appreciate Blue Hash’s ability to combat insomnia and suppress stress."
Blue-Hawaiian,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Earthy,Sweet","The Blue Hawaiian strain is known for being quite a looker; its light green to orange buds are covered in rich orange and red hairs and are coated with sparkly trichomes throughout. Bred from Blueberry and Hawaiian Sativa, Blue Hawaiian is fruity and smooth. Flowers appear at  about ten weeks and are described as giving a balanced high that has equal parts of its relaxing indica and uplifting sativa effects."
Blue-Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Blueberry,Sweet,Flowery","Daughter of a Blueberry indica and the original Haze, this slightly sativa-dominant hybrid is a versatile strain. It has a pleasing taste and scent, and its furry dense buds produce full-bodied effects. Blue Haze is a great candidate for the regular consumer’s arsenal as it is appropriate for a broad spectrum of activities and provides the optimal balance between cerebral and physical effects."
Blue-Heron,hybrid,4.7,"Relaxed,Sleepy,Talkative,Happy,Uplifted","Woody,Spicy/Herbal,Pine","Blue Heron is an indica-dominant hybrid bred by Dynasty Seeds that brings euphoric flight to both mind and body. Parented by Blue Magoo and Huckleberry, Blue Heron takes after its Blue Magoo mother in its structure and blueberry, rose, and citrus aroma. Between 8 and 9 weeks of flowering, Blue Heron buds finish with dark, deep hues of blue and green."
Blue-Ivy,hybrid,4.4,"Relaxed,Focused,Hungry,Happy,Talkative","Earthy,Pepper,Blueberry","You may have 99 problems but Blue Ivy ain’t one. Named after the newborn child of musicians Jay-Z and Beyonce, this hybrid's effects are clearly indica-dominant and of impressive potency, with favorable blueberry undertones. "
Blue-Jay-Way,hybrid,4.5,"Relaxed,Uplifted,Focused,Sleepy,Euphoric","Sweet,Citrus,Blueberry","Blue Jay Way by Matrix NV is the hybrid cross of True Blueberry and OG Kush. This fruity combination incorporates the best of Blueberry’s sweet relaxation with OG Kush’s well-known sedation to create a strain that is fun and euphoric while offering medicinal benefits for patients suffering from nausea, restlessness, and chronic pain. It exhibits a bright blueberry aroma with notes of skunk, citrus, and earth.   "
Blue-Kiss,hybrid,4.7,"Relaxed,Talkative,Creative,Euphoric,Focused","Sweet,Berry,Blueberry","DJ Short Blueberry and Mistress OG come together to form the potent indica-dominant hybrid strain known as Blue Kiss. Seductive and sweet, Blue Kiss elicits relaxation and anti-anxiety effects that are easy on the mind and calm on the body. Mistress OG may have semi-sedative overtones, but its Blue Dream parentage still offers a tangible euphoria that crests as the sedation fades.   "
Blue-Knight,indica,4.7,"Relaxed,Uplifted,Hungry,Happy,Focused","Berry,Blueberry,Sweet","Blue Knight is a rare indica-dominant strain with a noble lineage that stems from Blueberry and Kryptonite genetics. Hues of royal purple twist with deep blues and vivid greens in a visual display as multifaceted as its berry, vanilla aroma. Earthy, woody, and blueberry flavors are unleashed on the exhale, and the relaxing full-body effects that follow are often enough to soothe pain and stimulate the appetite.  "
Blue-Kripple,indica,3.4,"Sleepy,Euphoric,Hungry,Relaxed,Tingly","Earthy,Grape","Blue Kripple is an indica-dominant hybrid bred by Dr. Krippling. This strain brings together the relaxing, therapeutic properties of Medicine Man and Blue Rhino, while the influence of Big Bud enhances Blue Kripple with dense, oversized colas and large yields. The calming indica effects cradle you with full-body relaxation and encourage nighttime use for stress, pain, and insomnia."
Blue-Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative,Hungry","Blueberry,Pine,Lemon","Blue Kush, a sativa-dominant hybrid, combines the sweet berry flavors of Blueberry with the powerful and pungent OG Kush. With hints of pine, lemon, and berries, Dinafem Seeds has created a treat for all of the senses. The effects are reported as cerebral, uplifting, and will leave you feeling anything but blue."
Blue-Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Blueberry,Earthy,Berry","The fusion of Blueberry and Northern Lights, Blue Lights is an indica strain with a noteworthy THC content. This flower emits a blueberry pungency thanks to the Blueberry influence, and provides a combination of sedative and euphoric long-lasting effects. Although fitting for day or nighttime use, this strain may be the perfect choice for end of the day stress and/or pain relief."
Blue-Magic,sativa,4.6,"Relaxed,Focused,Aroused,Sleepy,Euphoric","Citrus,Lemon,Tropical","Blue Magic is an upbeat sativa-dominant strain bred from the famous Blue Dream. Its high-energy effects are prefaced by creamy, fruity flavors reminiscent of its Blueberry ancestry. Sativa enthusiasts will appreciate the balance of potency and clarity delivered by Blue Magic, whose euphoria offers functionality and focus despite an impressive THC profile. While its initial punch is quick to hit, Blue Magic’s effects taper down gently and ease you into long-lasting relaxation that extends from the physical exterior to the deep recesses of your mind."
Blue-Magoo,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Giggly","Earthy,Sweet,Pungent","Blue Magoo, not to be confused with its lookalike Blue Goo, is a clone-only hybrid cross between DJ Short Blueberry and Major League Bud (also known as William’s Wonder F2). A fusion of berry, fruit, and other floral notes make up the aroma and taste of Blue Magoo, resulting in a palate as colorful as its pastel purple and green buds. Blue Magoo is a favorite among patients as it combats a variety of symptoms including pain, nausea, insomnia, anxiety, and appetite loss. This strain delivers a slight sativa kick that helps alleviate the heavy weight of Blue Magoo’s indica effects."
Blue-Monster,indica,4.7,"Relaxed,Hungry,Talkative,Sleepy,Happy","Berry,Sweet,Diesel","Blue Monster is a powerful combination of G13, Blueberry, Northern Lights #5, and a Mexican landrace strain. Bred by Goldenseed, Blue Monster combines a sweet mix of flavors with strong indica effects. Its complex aroma of berries and tropical fruits exposes the influence of Blueberry and G13 genetics. When grown to its full potential, the forceful relaxation of Blue Monster can overwhelm novices with its immediate body sedation and commanding cerebral effects. This monster indica is sure to scare away sleepless nights and body pains."
Blue-Moon-Rocks,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Focused","Berry,Strawberry,Lavender",Blue Moon Rocks by BOG Seeds is an indica-dominant hybrid cross between Blue Moon and BOG Bubble. It has a sweet blueberry lavender aroma and calming full-body effects.
Blue-Moonshine,indica,4.2,"Happy,Relaxed,Euphoric,Sleepy,Focused","Earthy,Berry,Woody","A DJ Short creation, Blue Moonshine is a very potent blueberry indica strain that provides a nice body high. As a true indica, Blue Moonshine plants perform as expected, staying short to medium height and usually flowering by 8 weeks. While growing and after it’s harvested, these plants have a sharp and fruity smell that brings to mind fermentation (thus the name). The high will hit you like good homebrew."
Blue-Mountain-Fire,sativa,4,"Euphoric,Relaxed,Tingly,Uplifted,Happy","Flowery,Earthy,Tar","A sativa strain with Jamaican roots, Blue Mountain Fire is an invigorating, upbeat variety that coerces creativity and happy mindsets. When grown outdoors, Blue Mountain Fire can tower with impressive heights and yields. Its high-energy buzz is perfect for motivating the mind and fighting fatigue, but those prone to anxiety may feel overwhelmed by the fast-paced euphoria this sativa has to offer. "
Blue-Mystic,indica,4.2,"Happy,Relaxed,Giggly,Energetic,Sleepy","Blueberry,Earthy,Sweet","Blue Mystic is as mysterious as its name indicates, with unknown genetics that definitely contain some Blueberry and possibly some Skunk or Northern Lights. These plants flower between 7 to 9 weeks, with light blue coloring that can make the trichome-covered buds look almost gray. It does have the distinctive Blueberry aroma, but it’s fairly subtle compared to other strains, making it a good choice for growers or patients who need discretion.  "
Blue-Nightmare,hybrid,4.7,"Euphoric,Relaxed,Happy,Giggly,Creative","Berry,Earthy,Blueberry","Blue Nightmare, bred by RNM Flowers, is a resinous, berry-flavored hybrid cross between Blue Dream and Tahoe OG. From the Tahoe OG indica, Blue Nightmare inherits a thick bud structure and a heavy blanket of crystal trichomes that promises intense euphoria and creativity. Blue Nightmare maintains the famous blueberry aroma of its Blue Dream parent, along with many of its widely cherished happy and relaxing effects."
Blue-Nina,hybrid,4.5,"Happy,Talkative,Giggly,Tingly,Euphoric","Blueberry,Flowery","Blue Nina is one of Colorado Seed Inc.’s excellent Blue Dream crosses. This sativa-dominant hybrid cross between Blue Dream and Nina Limone offers energetic effects and complicated fruity flavors. This plant has been known to grow into Haze and Blueberry dominant phenotypes, both coated in dense crystals and bright orange hairs. Indulge in this strain to stave off laziness and stimulate a heady state of mind that is conducive to creative projects. "
Blue-Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Blueberry,Berry,Earthy","Blue OG from G13 Labs is a flavorful hybrid following the lineage of Blueberry F3, Blue Moonshine, and OG Kush. These dark, cone-shaped buds characteristic of OG genes emanate notes of berry and citrus, and leave its consumer feeling euphoric and relaxed. Though its effects are cerebrally targeted, Blue OG is known to also tackle pain, relax muscles, and relieve nausea. Growers can expect an eight week flowering period with ideal conditions outdoors. "
Blue-Ox,indica,4.5,"Sleepy,Relaxed,Hungry,Talkative,Uplifted","Berry,Flowery,Blueberry","Blue Ox by Rare Dankness Seeds is a berry-rich version of their Stone Mountain strain. By combining classic Blueberry with The OX, Rare Dankness created a sweet, well-rounded strain with aromas of blueberry, coffee, chocolate, and earthy spice. The dense, resinous buds express blue and purple foliage that looks nearly as good as it smells. Blue Ox has extremely strong indica effects that relax the body to the point of sedation. Use Blue Ox to abate post-chemotherapy symptoms like nausea, appetite loss, and physical discomfort.   "
Blue-Persuasion,hybrid,4.1,"Relaxed,Tingly,Euphoric,Happy,Hungry","Sweet,Blueberry,Berry","Blue Persuasion is the first of a Signature Series by BUDS Pasco, an indoor hydroponic farm in Washington. It is an indica-dominant hybrid strain composed of Blueberry, Northern Lights, and White Widow genetics. From Blueberry, Blue Persuasion inherits sweet berry flavors, relaxing and long-lasting euphoria, and a high THC potential. Its Northern Lights parent is cherished for its resinous buds, fast flowering, and resilience during growth, while White Widow contributes a tendency for heavy resin production and balanced hybrid effects. With a THC content that can stretch to 26%, Blue Persuasion is best saved for late night relaxation and introspection."
Blue-Power,indica,4.7,"Relaxed,Tingly,Happy,Uplifted,Euphoric","Berry,Earthy,Sweet","The indica-dominant Blue Power is one of Sin City Seeds’ signature strains, bred from Sour Double, Master Kush, The White, and Blue Moonshine genetics. Cherished for its fragrant buds, Blue Power offers a sweet fusion of lemon and berry flavors with an earthy finish. It should be noted that another genetic variation released by Vision Seeds crosses Blueberry, White Widow, and Skunk #1. This rendition is described as a happy and uplifting indica that helps focus the mind while fighting stress."
Blue-Rhino,hybrid,4.3,"Sleepy,Relaxed,Focused,Uplifted,Hungry","Blueberry,Sweet,Berry","Blue Rhino is a potent cross of Blueberry and White Rhino that has a unique fruity aroma mixed with some skunky harshness. This plant may be of special interest to growers for its large flowers, which will get to their most impressive size when grown outdoors. Patients like this strain for its balanced mix of head and body effects, making it an option for staying focused or wanting to relax, depending on your needs."
Blue-Satellite,sativa,3.9,"Uplifted,Happy,Euphoric,Talkative,Relaxed","Sweet,Blueberry,Citrus","Blue Satellite, the sativa offspring of Blueberry Sativa and Shishkaberry, is a strongly psychoactive strain with long-lasting effects. The dense, conic buds carry a sour scent redolent of ammonia and induce powerful cerebral effects including euphoria, creativity, and stress relief. Its typically high THC content makes Blue Satellite a preferred daytime strain for appetite loss, nausea, glaucoma, and pain."
Blue-Sky,hybrid,4.6,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Sweet,Pine","Blue Sky is the sweet, candy-flavored offspring of LSD and Rocky Mountain Blueberry. This indica-leaning hybrid is a great choice for unwinding, relaxing, and inducing laughing fits. Beautiful in appearance, these shimmering flowers give off blue and red hues when the light hits them. "
Blue-Steel,indica,4.3,"Uplifted,Relaxed,Euphoric,Happy,Creative","Blueberry,Pungent,Earthy","Blue Steel by Exotic Genetix is an indica-dominant strain with fruit-forward flavors. Created by crossing the pungent OG Blueberry and The Cube, a Starfighter F3 phenotype bred in-house, Exotic Genetix has outdone itself with this subtly sedative crowd-pleaser. The flavor and aroma are thick with the scent of blueberries and the nugs are smothered in a layer of frosty trichomes. Enjoy this strain throughout the day to boost mood and appetite while promoting a creative headspace.  "
Blue-Thai,hybrid,3.7,"Relaxed,Happy,Talkative,Uplifted,Focused","Earthy,Pungent,Woody","Blue Thai by Dinafem Seeds is a hybrid strain from the Netherlands that crosses Blueberry and Thai Skunk. This fruity, mold-resistant strain offers the best results when grown outdoors, but also performs well indoors and finishes flowering after 8 weeks."
